experiment_id,lr,epochs,max_time,batch_size,seq_len,seq_est_len,est_direction,est_type,est_hidden_size,seed,FIT,RMSE
306,0.001,10000,300,512,80,40,forward,FF,15,46,95.44329833984375,10.897240601480007
271,0.001,10000,1800,512,160,20,forward,FF,15,520,97.48680877685547,6.010227371007204
27,0.001,10000,300,128,160,10,forward,LSTM,15,744,93.60559844970703,15.292033553123474
307,0.001,10000,1800,512,80,40,forward,FF,15,171,97.7882308959961,5.289388354867697
546,0.001,10000,300,512,80,80,forward,ZERO,15,446,93.88818359375,14.616227708756924
355,0.001,10000,1800,512,80,80,forward,FF,15,516,97.15495300292969,6.803853902965784
717,0.001,10000,300,1024,320,40,forward,RAND,15,718,91.78204345703125,19.653016701340675
695,0.001,10000,3600,1024,80,40,forward,RAND,15,633,97.80868530273438,5.240466445684433
561,0.001,10000,300,1024,160,80,forward,ZERO,15,429,90.97862243652344,21.57438173890114
673,0.001,10000,1800,32,40,40,forward,RAND,15,292,97.66934967041016,5.573689937591553
142,0.001,10000,1800,1024,320,40,forward,LSTM,15,196,96.69013977050781,7.9154446721076965
737,0.001,10000,3600,128,80,80,forward,RAND,15,99,98.44566345214844,3.7171649746596813
668,0.001,10000,3600,512,320,20,forward,RAND,15,201,97.40907287597656,6.196129601448774
699,0.001,10000,300,128,160,40,forward,RAND,15,91,93.52787780761719,15.477912500500679
647,0.001,10000,3600,1024,80,20,forward,RAND,15,43,98.36708068847656,3.9050790946930647
595,0.001,10000,1800,512,80,10,forward,RAND,15,651,96.6952896118164,7.903126068413258
118,0.001,10000,1800,1024,80,40,forward,LSTM,15,249,96.65316009521484,8.003873750567436
587,0.001,10000,3600,1024,40,10,forward,RAND,15,129,95.30123138427734,11.236983351409435
458,0.001,10000,3600,32,160,20,forward,ZERO,15,22,98.20298767089844,4.297513049095869
499,0.001,10000,1800,512,80,40,forward,ZERO,15,384,96.98954772949219,7.199414074420929
253,0.001,10000,1800,32,80,20,forward,FF,15,293,97.66747283935547,5.578173324465752
2,0.001,10000,3600,32,40,10,forward,LSTM,15,113,97.22595977783203,6.634049583226442
292,0.001,10000,1800,128,40,40,forward,FF,15,173,98.01161193847656,4.755168687552214
85,0.001,10000,1800,32,320,20,forward,LSTM,15,350,96.09786224365234,9.331860579550266
133,0.001,10000,1800,32,320,40,forward,LSTM,15,409,97.41413116455078,6.184032652527094
107,0.001,10000,3600,1024,40,40,forward,LSTM,15,471,98.56266021728516,3.437353763729334
435,0.001,10000,300,128,40,20,forward,ZERO,15,457,95.5737075805664,10.585358366370201
246,0.001,10000,300,512,40,20,forward,FF,15,625,95.30950164794922,11.217201128602028
148,0.001,10000,1800,128,40,80,forward,LSTM,15,416,98.54762268066406,3.4733163192868233
344,0.001,10000,3600,512,40,80,forward,FF,15,689,97.87474060058594,5.082498304545879
542,0.001,10000,3600,32,80,80,forward,ZERO,15,654,98.51893615722656,3.5419210325926542
174,0.001,10000,300,512,160,80,forward,LSTM,15,263,94.46856689453125,13.22828233242035
211,0.001,10000,1800,512,80,10,forward,FF,15,553,97.47201538085938,6.045601796358824
555,0.001,10000,300,128,160,80,forward,ZERO,15,88,92.3834228515625,18.214846029877663
436,0.001,10000,1800,128,40,20,forward,ZERO,15,658,97.52886962890625,5.909636616706848
171,0.001,10000,300,128,160,80,forward,LSTM,15,462,93.00845336914062,16.72009937465191
121,0.001,10000,1800,32,160,40,forward,LSTM,15,362,97.5334243774414,5.898755043745041
580,0.001,10000,1800,128,40,10,forward,RAND,15,664,95.17118072509766,11.547979898750782
112,0.001,10000,1800,128,80,40,forward,LSTM,15,586,97.63240814208984,5.662033334374428
80,0.001,10000,3600,512,160,20,forward,LSTM,15,583,98.47417449951172,3.6489644553512335
527,0.001,10000,3600,1024,320,40,forward,ZERO,15,340,97.14717102050781,6.822456605732441
45,0.001,10000,300,1024,320,10,forward,LSTM,15,145,87.05554962158203,30.95630556344986
98,0.001,10000,3600,32,40,40,forward,LSTM,15,39,98.07008361816406,4.615338519215584
19,0.001,10000,1800,512,80,10,forward,LSTM,15,365,98.02009582519531,4.7348844818770885
664,0.001,10000,1800,128,320,20,forward,RAND,15,555,97.08607482910156,6.9685811176896095
96,0.001,10000,300,32,40,40,forward,LSTM,15,638,89.91593933105469,24.11574311554432
357,0.001,10000,300,1024,80,80,forward,FF,15,392,93.3387680053711,15.93015156686306
178,0.001,10000,1800,1024,160,80,forward,LSTM,15,704,96.83387756347656,7.571699097752571
108,0.001,10000,300,32,80,40,forward,LSTM,15,316,92.5365219116211,17.848709598183632
268,0.001,10000,1800,128,160,20,forward,FF,15,337,97.38507080078125,6.253522355109453
432,0.001,10000,300,32,40,20,forward,ZERO,15,767,90.42214965820312,22.905180230736732
153,0.001,10000,300,1024,40,80,forward,LSTM,15,380,86.95471954345703,31.197430565953255
456,0.001,10000,300,32,160,20,forward,ZERO,15,378,91.58558654785156,20.122844725847244
530,0.001,10000,3600,32,40,80,forward,ZERO,15,146,98.59496307373047,3.3601096365600824
1,0.001,10000,1800,32,40,10,forward,LSTM,15,122,97.53936767578125,5.884528625756502
725,0.001,10000,3600,128,40,80,forward,RAND,15,244,98.41143798828125,3.7990103010088205
465,0.001,10000,300,1024,160,20,forward,ZERO,15,281,93.31680297851562,15.982678160071373
69,0.001,10000,300,1024,80,20,forward,LSTM,15,403,91.55591583251953,20.19379660487175
635,0.001,10000,3600,1024,40,20,forward,RAND,15,444,98.1014404296875,4.540362861007452
48,0.001,10000,300,32,40,20,forward,LSTM,15,198,89.3011703491211,25.585968047380447
705,0.001,10000,300,1024,160,40,forward,RAND,15,321,92.38400268554688,18.213454633951187
656,0.001,10000,3600,512,160,20,forward,RAND,15,594,98.20410919189453,4.294822458177805
576,0.001,10000,300,32,40,10,forward,RAND,15,138,90.73247528076172,22.163033485412598
747,0.001,10000,300,128,160,80,forward,RAND,15,87,92.21099853515625,18.627190962433815
710,0.001,10000,3600,32,320,40,forward,RAND,15,617,98.02599334716797,4.72077215090394
389,0.001,10000,3600,128,40,10,forward,ZERO,15,679,95.79630279541016,10.053026489913464
231,0.001,10000,300,128,320,10,forward,FF,15,580,91.03814697265625,21.43203839659691
331,0.001,10000,1800,512,320,40,forward,FF,15,614,97.218505859375,6.651862990111113
215,0.001,10000,3600,1024,80,10,forward,FF,15,92,97.84000396728516,5.165572743862867
55,0.001,10000,1800,512,40,20,forward,LSTM,15,75,97.93726348876953,4.932975862175226
424,0.001,10000,1800,128,320,10,forward,ZERO,15,343,96.93278503417969,7.33515340834856
539,0.001,10000,3600,1024,40,80,forward,ZERO,15,376,98.9822998046875,2.4338075891137123
603,0.001,10000,300,128,160,10,forward,RAND,15,507,93.06507873535156,16.58468507230282
444,0.001,10000,300,32,80,20,forward,ZERO,15,519,94.63507843017578,12.830064631998539
446,0.001,10000,3600,32,80,20,forward,ZERO,15,616,97.57783508300781,5.792544689029455
224,0.001,10000,3600,512,160,10,forward,FF,15,211,97.96895599365234,4.857196938246489
501,0.001,10000,300,1024,80,40,forward,ZERO,15,105,91.62477111816406,20.02912200987339
218,0.001,10000,3600,32,160,10,forward,FF,15,294,98.62959289550781,3.2772866543382406
651,0.001,10000,300,128,160,20,forward,RAND,15,41,93.78759765625,14.85679391771555
753,0.001,10000,300,1024,160,80,forward,RAND,15,600,91.22115325927734,20.994365215301514
104,0.001,10000,3600,512,40,40,forward,LSTM,15,267,98.40106201171875,3.823816077783704
480,0.001,10000,300,32,40,40,forward,ZERO,15,160,93.67427825927734,15.12779388576746
632,0.001,10000,3600,512,40,20,forward,RAND,15,286,97.92639923095703,4.958950914442539
361,0.001,10000,1800,32,160,80,forward,FF,15,673,97.71002197265625,5.476424936205149
335,0.001,10000,3600,1024,320,40,forward,FF,15,134,98.42056274414062,3.777173114940524
654,0.001,10000,300,512,160,20,forward,RAND,15,209,93.75489044189453,14.935021288692951
637,0.001,10000,1800,32,80,20,forward,RAND,15,371,97.83074951171875,5.187700968235731
735,0.001,10000,300,128,80,80,forward,RAND,15,659,92.177734375,18.706724047660828
709,0.001,10000,1800,32,320,40,forward,RAND,15,42,97.61370086669922,5.706761498004198
676,0.001,10000,1800,128,40,40,forward,RAND,15,197,97.7663803100586,5.341640207916498
388,0.001,10000,1800,128,40,10,forward,ZERO,15,100,95.87155151367188,9.873079136013985
423,0.001,10000,300,128,320,10,forward,ZERO,15,601,92.05610656738281,18.99760216474533
400,0.001,10000,1800,128,80,10,forward,ZERO,15,712,96.41498565673828,8.573458530008793
37,0.001,10000,1800,32,320,10,forward,LSTM,15,500,95.97563934326172,9.624156169593334
