experiment_id,lr,epochs,max_time,batch_size,seq_len,seq_est_len,est_type,est_hidden_size,seed
225,0.001,10000,1800,128,256,10,LSTM,30,212
226,0.001,10000,300,1024,256,10,LSTM,30,104
330,0.001,10000,300,32,256,10,ZERO,30,419
369,0.001,10000,1800,128,256,100,ZERO,30,42
274,0.001,10000,300,1024,64,10,FF,30,109
332,0.001,10000,300,128,256,10,ZERO,30,256
339,0.001,10000,1800,128,512,10,ZERO,30,305
419,0.001,10000,1800,1024,64,100,RAND,30,292
111,0.001,10000,1800,128,64,10,ZERO,10,81
91,0.001,10000,1800,32,64,100,FF,10,113
265,0.001,10000,1800,32,512,100,LSTM,30,161
404,0.001,10000,300,128,256,40,RAND,30,72
415,0.001,10000,1800,32,64,100,RAND,30,396
63,0.001,10000,1800,128,256,10,FF,10,340
43,0.001,10000,1800,32,256,100,LSTM,10,135
347,0.001,10000,1800,1024,64,40,ZERO,30,334
360,0.001,10000,300,32,64,100,ZERO,30,82
237,0.001,10000,1800,128,64,40,LSTM,30,234
138,0.001,10000,300,32,512,40,ZERO,10,89
112,0.001,10000,300,1024,64,10,ZERO,10,309
