experiment_id,lr,epochs,max_time,batch_size,seq_len,seq_est_len,est_type,est_hidden_size,seed,FIT
323,0.001,10000,1800,1024,512,100,FF,30,23,83.38203581205578
108,0.001,10000,300,32,64,10,ZERO,10,75,74.7541732788086
213,0.001,10000,1800,128,512,100,RAND,10,51,85.19464874267578
195,0.001,10000,1800,128,512,40,RAND,10,423,83.44300842285156
407,0.001,10000,1800,1024,256,40,RAND,30,165,83.33965301513672
340,0.001,10000,300,1024,512,10,ZERO,30,48,79.34432983398438
246,0.001,10000,300,32,512,40,LSTM,30,118,83.06892818925176
72,0.001,10000,300,32,64,40,FF,10,389,92.93653152001365
94,0.001,10000,300,1024,64,100,FF,10,7,90.93857615059618
125,0.001,10000,1800,1024,512,10,ZERO,10,213,79.48065185546875
135,0.001,10000,1800,128,256,40,ZERO,10,381,83.44415283203125
197,0.001,10000,1800,1024,512,40,RAND,10,238,79.51994323730469
201,0.001,10000,1800,128,64,100,RAND,10,349,85.29750061035156
365,0.001,10000,1800,1024,64,100,ZERO,30,57,89.96771240234375
248,0.001,10000,300,128,512,40,LSTM,30,129,83.93425421322931
224,0.001,10000,300,128,256,10,LSTM,30,138,87.01461760141495
26,0.001,10000,300,128,256,40,LSTM,10,150,85.52877348473417
324,0.001,10000,300,32,64,10,ZERO,30,43,74.66808319091797
284,0.001,10000,300,128,512,10,FF,30,269,85.23157816200005
168,0.001,10000,300,32,256,10,RAND,10,240,80.06766510009766
377,0.001,10000,1800,1024,512,100,ZERO,30,128,89.26718139648438
413,0.001,10000,1800,1024,512,40,RAND,30,193,82.15948486328125
3,0.001,10000,1800,128,64,10,LSTM,10,199,92.51288455090474
134,0.001,10000,300,128,256,40,ZERO,10,298,83.46353149414062
325,0.001,10000,1800,32,64,10,ZERO,30,0,73.63420867919922
355,0.001,10000,1800,32,512,40,ZERO,30,84,82.0215835571289
